number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_gru,params_hidden_lstm,params_lr,params_weight_decay,state
0,0.020283235237002373,2026-01-28 09:33:58.703886,2026-01-28 09:34:02.361231,0 days 00:00:03.657345,64,0.04680559213273095,128,256,0.0006612372870684138,1.3066739238053272e-05,COMPLETE
1,0.019310230389237404,2026-01-28 09:34:02.363084,2026-01-28 09:34:04.431178,0 days 00:00:02.068094,128,0.06370173320348284,128,128,0.0006925598810528834,2.3270677083837777e-05,COMPLETE
2,0.020348811522126198,2026-01-28 09:34:04.433564,2026-01-28 09:34:06.613981,0 days 00:00:02.180417,64,0.08764339456056544,128,128,0.0009639509391403418,8.168455894760161e-05,COMPLETE
3,0.019901398569345474,2026-01-28 09:34:06.615984,2026-01-28 09:34:13.933411,0 days 00:00:07.317427,64,0.051157237106187456,256,256,0.0005618106695101674,0.000790261954970823,COMPLETE
4,0.01957649737596512,2026-01-28 09:34:13.936117,2026-01-28 09:34:15.867037,0 days 00:00:01.930920,64,0.036611470453433645,128,128,0.0012142064514998416,1.1715937392307055e-05,COMPLETE
5,0.02006782963871956,2026-01-28 09:34:15.869180,2026-01-28 09:34:19.009029,0 days 00:00:03.139849,64,0.05545633665765811,256,128,0.0028408839605404725,0.0003550304858128307,COMPLETE
6,0.019548607990145683,2026-01-28 09:34:19.010813,2026-01-28 09:34:23.365745,0 days 00:00:04.354932,128,0.01356818667316142,256,256,0.0008956250005480595,5.989003672254293e-05,COMPLETE
7,0.019498107954859734,2026-01-28 09:34:23.367275,2026-01-28 09:34:25.465098,0 days 00:00:02.097823,64,0.2406590942262119,128,128,0.0005714545315186699,0.0009413993046829941,COMPLETE
8,0.019135864451527596,2026-01-28 09:34:25.466587,2026-01-28 09:34:30.381677,0 days 00:00:04.915090,128,0.2313811040057837,256,256,0.0005709366765603412,5.211124595788268e-05,COMPLETE
9,0.019546136260032654,2026-01-28 09:34:30.383618,2026-01-28 09:34:34.481787,0 days 00:00:04.098169,64,0.09755499660802411,256,128,0.0018480510518254219,0.00018841476921545086,COMPLETE
