rank,run_id,seed,model,val_rmse,val_r2,MAE,RMSE,R2,MDA
3,575,42,LSTM_GRU_PCA_GridSearch_RMSE_run575,0.018930332735180855,0.030952930450439453,0.01116799097508192,0.016557301394826817,-0.028127670288085938,0.5209677419354839
4,573,42,LSTM_GRU_PCA_GridSearch_RMSE_run573,0.018930383026599884,0.03094768524169922,0.011167983524501324,0.016557331276790037,-0.02813136577606201,0.5209677419354839
2,172,42,LSTM_GRU_PCA_GridSearch_RMSE_run172,0.01887141726911068,0.036975324153900146,0.011370453983545303,0.016568580640916035,-0.02952885627746582,0.49516129032258066
1,170,42,LSTM_GRU_PCA_GridSearch_RMSE_run170,0.018871407955884933,0.036976158618927,0.011370455846190453,0.016568584154050686,-0.029529333114624023,0.49516129032258066
9,176,42,LSTM_GRU_PCA_GridSearch_RMSE_run176,0.018994027748703957,0.024420857429504395,0.01158884260803461,0.016670866895045492,-0.042279720306396484,0.4693548387096774
10,174,42,LSTM_GRU_PCA_GridSearch_RMSE_run174,0.018994031473994255,0.02442038059234619,0.011588874273002148,0.016670888717404516,-0.04228246212005615,0.4693548387096774
7,163,42,LSTM_GRU_PCA_GridSearch_RMSE_run163,0.0189790241420269,0.025961458683013916,0.011777766980230808,0.017129536922136274,-0.10042178630828857,0.49516129032258066
8,161,42,LSTM_GRU_PCA_GridSearch_RMSE_run161,0.01897902600467205,0.025961220264434814,0.011777776293456554,0.017129542868787918,-0.10042250156402588,0.49516129032258066
6,168,42,LSTM_GRU_PCA_GridSearch_RMSE_run168,0.01895766705274582,0.028152287006378174,0.011943942867219448,0.017289691905134904,-0.12109506130218506,0.5225806451612903
5,166,42,LSTM_GRU_PCA_GridSearch_RMSE_run166,0.01895766519010067,0.028152525424957275,0.011943947523832321,0.01728969358844015,-0.12109518051147461,0.5225806451612903
