base_run_id,base_seed,repeat,seed,status,val_r2,val_rmse,train_seconds,error_msg,hidden_lstm,hidden_gru,dense1,dense2,dropout,lr,weight_decay,batch_size,grad_clip
772,814,0,814,ok,0.09823697805404663,0.0778738260269165,2.66447377204895,,128,256,64,16,0.0,0.0005,0.0001,128,1.0
772,814,1,1814,ok,-0.05704021453857422,0.0843123197555542,2.642282009124756,,128,256,64,16,0.0,0.0005,0.0001,128,1.0
772,814,2,2814,ok,-0.12482011318206787,0.08697348088026047,2.971076250076294,,128,256,64,16,0.0,0.0005,0.0001,128,1.0
772,814,3,3814,ok,0.0167391300201416,0.08131668716669083,2.643404722213745,,128,256,64,16,0.0,0.0005,0.0001,128,1.0
772,814,4,4814,ok,-0.0956963300704956,0.0858401358127594,2.634073257446289,,128,256,64,16,0.0,0.0005,0.0001,128,1.0
797,839,0,839,ok,0.09598416090011597,0.07797104120254517,3.594280958175659,,128,256,64,32,0.2,0.001,1e-06,64,1.0
797,839,1,1839,ok,-0.1339784860610962,0.08732683211565018,2.9617862701416016,,128,256,64,32,0.2,0.001,1e-06,64,1.0
797,839,2,2839,ok,0.023277878761291504,0.08104585856199265,2.9883058071136475,,128,256,64,32,0.2,0.001,1e-06,64,1.0
797,839,3,3839,ok,-0.1311432123184204,0.08721759170293808,3.025531768798828,,128,256,64,32,0.2,0.001,1e-06,64,1.0
797,839,4,4839,ok,-0.23971903324127197,0.09130760282278061,2.9726293087005615,,128,256,64,32,0.2,0.001,1e-06,64,1.0
1248,1290,0,1290,ok,0.09020519256591797,0.07821986079216003,5.57223653793335,,256,256,64,64,0.2,0.001,0.0001,128,1.0
1248,1290,1,2290,ok,-0.2452864646911621,0.09151239693164825,4.565391302108765,,256,256,64,64,0.2,0.001,0.0001,128,1.0
1248,1290,2,3290,ok,-0.09700536727905273,0.08589140325784683,4.0654847621917725,,256,256,64,64,0.2,0.001,0.0001,128,1.0
1248,1290,3,4290,ok,-0.0639801025390625,0.08458863943815231,4.293256521224976,,256,256,64,64,0.2,0.001,0.0001,128,1.0
1248,1290,4,5290,ok,-0.20710968971252441,0.09009873121976852,7.65198016166687,,256,256,64,64,0.2,0.001,0.0001,128,1.0
14,56,0,56,ok,0.0780523419380188,0.07874055206775665,1.1932024955749512,,64,64,32,16,0.2,0.001,1e-06,128,1.0
14,56,1,1056,ok,-0.0009008646011352539,0.0820428729057312,1.130486249923706,,64,64,32,16,0.2,0.001,1e-06,128,1.0
14,56,2,2056,ok,-0.06198263168334961,0.08450920134782791,1.0480172634124756,,64,64,32,16,0.2,0.001,1e-06,128,1.0
14,56,3,3056,ok,-0.02498006820678711,0.08302387595176697,1.2306602001190186,,64,64,32,16,0.2,0.001,1e-06,128,1.0
14,56,4,4056,ok,0.031699419021606445,0.08069570362567902,1.2291126251220703,,64,64,32,16,0.2,0.001,1e-06,128,1.0
370,412,0,412,ok,0.07329529523849487,0.07894342392683029,2.1797358989715576,,64,256,64,64,0.0,0.0005,1e-06,128,1.0
370,412,1,1412,ok,0.0032907724380493164,0.081870898604393,1.9044075012207031,,64,256,64,64,0.0,0.0005,1e-06,128,1.0
370,412,2,2412,ok,0.03089451789855957,0.08072923123836517,1.932809591293335,,64,256,64,64,0.0,0.0005,1e-06,128,1.0
370,412,3,3412,ok,0.0026217103004455566,0.08189836889505386,1.9517176151275635,,64,256,64,64,0.0,0.0005,1e-06,128,1.0
370,412,4,4412,ok,0.019141674041748047,0.08121728152036667,1.947338581085205,,64,256,64,64,0.0,0.0005,1e-06,128,1.0
258,300,0,300,ok,0.07166552543640137,0.07901281863451004,1.1401772499084473,,64,128,128,32,0.0,0.0005,1e-06,128,1.0
258,300,1,1300,ok,-0.024395108222961426,0.08300018310546875,1.1748766899108887,,64,128,128,32,0.0,0.0005,1e-06,128,1.0
258,300,2,2300,ok,-0.027205705642700195,0.08311396837234497,1.1620674133300781,,64,128,128,32,0.0,0.0005,1e-06,128,1.0
258,300,3,3300,ok,-0.023876070976257324,0.08297915011644363,1.1678810119628906,,64,128,128,32,0.0,0.0005,1e-06,128,1.0
258,300,4,4300,ok,-0.03897833824157715,0.08358889073133469,1.1368587017059326,,64,128,128,32,0.0,0.0005,1e-06,128,1.0
187,229,0,229,ok,0.07110190391540527,0.07903679460287094,2.8266730308532715,,64,128,32,64,0.2,0.0005,0.0001,64,1.0
187,229,1,1229,ok,-0.01132190227508545,0.08246886730194092,1.5390148162841797,,64,128,32,64,0.2,0.0005,0.0001,64,1.0
187,229,2,2229,ok,0.03767740726470947,0.08044622093439102,2.021578073501587,,64,128,32,64,0.2,0.0005,0.0001,64,1.0
187,229,3,3229,ok,-0.03522014617919922,0.08343756943941116,1.8207194805145264,,64,128,32,64,0.2,0.0005,0.0001,64,1.0
187,229,4,4229,ok,-0.03728306293487549,0.08352066576480865,1.7720015048980713,,64,128,32,64,0.2,0.0005,0.0001,64,1.0
272,314,0,314,ok,0.0691077709197998,0.07912158966064453,1.0688319206237793,,64,128,128,32,0.2,0.001,0.0001,128,1.0
272,314,1,1314,ok,0.03158658742904663,0.08070040494203568,1.2324821949005127,,64,128,128,32,0.2,0.001,0.0001,128,1.0
272,314,2,2314,ok,-0.015059947967529297,0.08262112736701965,1.2037043571472168,,64,128,128,32,0.2,0.001,0.0001,128,1.0
272,314,3,3314,ok,-0.020027518272399902,0.08282305300235748,1.322770118713379,,64,128,128,32,0.2,0.001,0.0001,128,1.0
272,314,4,4314,ok,0.011786937713623047,0.08152120560407639,1.284924030303955,,64,128,128,32,0.2,0.001,0.0001,128,1.0
146,188,0,188,ok,0.061592042446136475,0.07944034785032272,1.9536278247833252,,64,128,32,16,0.0,0.0005,1e-06,128,1.0
146,188,1,1188,ok,-0.013044595718383789,0.08253907412290573,1.155027151107788,,64,128,32,16,0.0,0.0005,1e-06,128,1.0
146,188,2,2188,ok,-0.07280325889587402,0.084938645362854,1.4181632995605469,,64,128,32,16,0.0,0.0005,1e-06,128,1.0
146,188,3,3188,ok,-0.05926060676574707,0.08440083265304565,1.3815629482269287,,64,128,32,16,0.0,0.0005,1e-06,128,1.0
146,188,4,4188,ok,-0.013966917991638184,0.08257663249969482,1.1074273586273193,,64,128,32,16,0.0,0.0005,1e-06,128,1.0
121,163,0,163,ok,0.06094568967819214,0.07946769893169403,1.8384785652160645,,64,64,128,32,0.2,0.0005,1e-06,64,1.0
121,163,1,1163,ok,-0.028611183166503906,0.0831708088517189,1.9008843898773193,,64,64,128,32,0.2,0.0005,1e-06,64,1.0
121,163,2,2163,ok,0.010294973850250244,0.08158272504806519,1.808769702911377,,64,64,128,32,0.2,0.0005,1e-06,64,1.0
121,163,3,3163,ok,-0.0825110673904419,0.08532208949327469,1.8738465309143066,,64,64,128,32,0.2,0.0005,1e-06,64,1.0
121,163,4,4163,ok,0.044710755348205566,0.08015169948339462,1.9139513969421387,,64,64,128,32,0.2,0.0005,1e-06,64,1.0
545,587,0,587,ok,0.0601811408996582,0.07950004190206528,1.8390038013458252,,128,64,128,32,0.0,0.0005,1e-06,64,1.0
545,587,1,1587,ok,0.011822283267974854,0.08151974529027939,1.8634319305419922,,128,64,128,32,0.0,0.0005,1e-06,64,1.0
545,587,2,2587,ok,-0.006373047828674316,0.08226683735847473,1.6935350894927979,,128,64,128,32,0.0,0.0005,1e-06,64,1.0
545,587,3,3587,ok,-0.018961429595947266,0.08277976512908936,1.6561145782470703,,128,64,128,32,0.0,0.0005,1e-06,64,1.0
545,587,4,4587,ok,-0.08944845199584961,0.08559504896402359,1.5575311183929443,,128,64,128,32,0.0,0.0005,1e-06,64,1.0
219,261,0,261,ok,0.05809462070465088,0.07958824932575226,1.7677595615386963,,64,128,64,32,0.2,0.0005,0.0001,64,1.0
219,261,1,1261,ok,-0.04176199436187744,0.08370079100131989,1.8788962364196777,,64,128,64,32,0.2,0.0005,0.0001,64,1.0
219,261,2,2261,ok,0.0043776631355285645,0.08182623982429504,1.6914849281311035,,64,128,64,32,0.2,0.0005,0.0001,64,1.0
219,261,3,3261,ok,-0.00522768497467041,0.08222001045942307,1.8622944355010986,,64,128,64,32,0.2,0.0005,0.0001,64,1.0
219,261,4,4261,ok,0.04530143737792969,0.08012691885232925,1.9742021560668945,,64,128,64,32,0.2,0.0005,0.0001,64,1.0
300,342,0,342,ok,0.05753105878829956,0.07961205393075943,2.1925699710845947,,64,256,32,16,0.2,0.0005,0.0001,128,1.0
300,342,1,1342,ok,0.03645414113998413,0.08049733191728592,2.2330820560455322,,64,256,32,16,0.2,0.0005,0.0001,128,1.0
300,342,2,2342,ok,-0.02735590934753418,0.08312004804611206,1.957535743713379,,64,256,32,16,0.2,0.0005,0.0001,128,1.0
300,342,3,3342,ok,-0.02437746524810791,0.08299946784973145,1.9328639507293701,,64,256,32,16,0.2,0.0005,0.0001,128,1.0
300,342,4,4342,ok,0.010331034660339355,0.0815812349319458,2.1976866722106934,,64,256,32,16,0.2,0.0005,0.0001,128,1.0
15,57,0,57,ok,0.0572817325592041,0.07962258160114288,1.759763240814209,,64,64,32,16,0.2,0.001,0.0001,64,1.0
15,57,1,1057,ok,-0.1835232973098755,0.08921413868665695,2.0518131256103516,,64,64,32,16,0.2,0.001,0.0001,64,1.0
15,57,2,2057,ok,-0.1909642219543457,0.08949414640665054,1.9273664951324463,,64,64,32,16,0.2,0.001,0.0001,64,1.0
15,57,3,3057,ok,0.015934884548187256,0.0813499316573143,1.6738359928131104,,64,64,32,16,0.2,0.001,0.0001,64,1.0
15,57,4,4057,ok,-0.07735443115234375,0.08511862903833389,1.825878620147705,,64,64,32,16,0.2,0.001,0.0001,64,1.0
494,536,0,536,ok,0.054690003395080566,0.07973195612430573,1.3256051540374756,,128,64,64,16,0.2,0.001,1e-06,128,1.0
494,536,1,1536,ok,-0.06240999698638916,0.08452620357275009,1.3133111000061035,,128,64,64,16,0.2,0.001,1e-06,128,1.0
494,536,2,2536,ok,-0.015148401260375977,0.08262473344802856,1.462984323501587,,128,64,64,16,0.2,0.001,1e-06,128,1.0
494,536,3,3536,ok,-0.029085516929626465,0.08318998664617538,1.3464412689208984,,128,64,64,16,0.2,0.001,1e-06,128,1.0
494,536,4,4536,ok,-0.09636402130126953,0.0858662873506546,1.3193812370300293,,128,64,64,16,0.2,0.001,1e-06,128,1.0
